473|Gjenbruksnett i resirkulert bomull|Gaveartikler og tilbehør - Handleposer|89|||||Gaveartikler og tilbehør - Handleposer||||||||||
1101|Løiten Linie|Brennevin - Akevitt - Akevitt, brun|469|Norge|Akershus|Nittedal|Arcus|Brennevin - Akevitt - Akevitt, brun|Aroma med tydelig preg av karve og anis, innslag av fat, vanilje og tørket appelsinskall.|Karvepreget og sammensatt med god fylde, innslag av anis, sitrus, fat og vanilje. God lengde.|Middels dyp gyllengul.|16 md på fat.||Glass, Klimasmart|Skrukapsel|Basisutvalget|Arcus Norway AS|Vectura AS
1201|Gilde Non Plus Ultra|Brennevin - Akevitt - Akevitt, brun|634|Norge|||Arcus|Brennevin - Akevitt - Akevitt, brun|Aroma med fint preg av karve, sitrus og blomst over innslag av fat.|Fint preg av karve, sitrus og integrert fat. God fylde og lengde.|Middels dyp gyllengul.|Potetsprit blandet med krydderdestillater og -uttrekk, før tapping ble akevitten fatmodnet i 12 år.||Glass|Naturkork|Bestillingsutvalget|Arcus Norway AS|Vectura AS
1301|Aalborg Taffel Akvavit|Brennevin - Akevitt - Akevitt, blank|409|Danmark|||Arcus Denmark, Danske Spritfabr.|Brennevin - Akevitt - Akevitt, blank|Tydelig og fokusert aroma av karve, streif av sitrusaktige toner, anis og dill.|Karvepreget med god fylde og lengde, undertoner av appelsin, litt lakris, dill og fennikel.|Vannklar.|Produsert i Norge.||Glass, Klimasmart|Skrukapsel|Basisutvalget|Arcus Norway AS|Vectura AS
1302|Aalborg Taffel Akvavit|Brennevin - Akevitt - Akevitt, blank|244|Danmark|||Arcus Denmark, Danske Spritfabr.|Brennevin - Akevitt - Akevitt, blank|Tydelig og fokusert aroma av karve, streif av sitrusaktige toner, anis og dill.|Karvepreget med god fylde og lengde, undertoner av appelsin, litt lakris, dill og fennikel.|Vannklar.|Produsert i Norge.||Glass|Skrukapsel|Bestillingsutvalget|Arcus Norway AS|Vectura AS
